attribute,chineseName,described,distribution,originalName,scientificName
,,,,Aechmea fulgens,
,,,,Aechmea fasciata,
,,,,Aechmea angustifolia,
Endemic,毛柱楊桐,"Trees; branches terete, brown to grayish brown; branchlets and terminal buds twany-pubescent.Leaves coriaceous, oblong-elliptic, 8–13 cm long, 2–5 cm wide, shining and glabrous above, pubescent beneath, apex acuminate, base acute, the margins entire or crenulate; petioles 3–5 mm long.Flowers axillary, solitary; pedicels pubescent, 5 mm long; bracteoles 2, caducous; sepals 5, rounded, 6 mm long, 5 mm wide, pubescent; petals 5–6 mm long, 5 mm wide, pubescent along the middle portion of the exterior surface; stamens 20–25, uniform in size, 5–5.5 mm long, filaments glabrous, 1.5–2 mm long, free from each other but adnate to the corolla, anthers 2.5 mm long, apicules 1–1.5 mm long, densely villous; ovary subglobose, pubescent; style entire, up to 10 mm long, sparingly pubescent in lower half, stigma obtuse.Fruit globose, 5 mm in diameter, villous, many-seeded.","Taiwan:In the central and southern parts of the island at altitudes of 2,200–2,500 m.",Adinandra lasiostyla,Adinandra lasiostyla Hayata
Endemic,鈍葉楊桐,"Branches and branchlets grayish brown, terete.Leaves elliptic, 4–8 cm long, 2–3.5 cm wide, obtuse or shortly acute at apex, cuneate or acute at base, margins sub-entire or slightly serrate near the apex, revolute, midrib sulcate above, prominent below, veins elevated on both surfaces; petioles 5–7 mm long.Fruit axillary, solitary; globose, 10–12 mm in diameter, sericeous-pubescent, 3-celled; style persistent, densely pubescent.",Taiwan:Known only from the southernmost part.,Adinandra formosana var. obtusissima,Adinandra formosana Hayatavar. obtusissima (Hayata
,,,,Adinandra formosana var. formosana,
Endemic,台灣楊桐,"Small Trees, branches terete, pilose, glabrescent with age.Leaves coriaceous, ovate-oblong, 5–9 cm long, 2–3.5 cm wide, apex acute or acuminate, base cuneate, margins distinctly serrate in upper half, grayish yellow and glabrescent beneath; petioles 4–7 mm long.Flowers axillary, solitary, pedicels 2–3.5 cm long, slender, slightly pubescent; bracteoles 2, ovate–lanceolate; sepals 5, imbricate, subequal, ovate-deltoid, 7–8 mm long, 4–6 mm wide, glabescent or slightly appressed-pubescent without, margins both denticulate and ciliate; petals 5, imbricate, similar to the sepals in size and shape, connate at base; stamens 20–25, filament 3 mm long, glabrous, adnate to the base of the corolla, anthers 2–3 mm long, broadly linear, densely villous, apicules 1–1.5 mm long; ovary nearly globose, pilose, 3-celled, style 9 mm long, hairy or glabrescent.Fruit glabrescent, subglobose, 7–8 mm in diameter, many-Seeded,Seeds minute, black and shining.","Taiwan:Throughout the island, at low and medium altitudes (200–1,900 m).",Adinandra formosana,Adinandra formosana Hayata
,小花下田菊,"Stems 40–60 cm tall, sparsely and minutely hirsute, often branching.Lower leaves small, ovate, petiolate, obtuse; median cauline leaves ovate-oblong, 10–15×5–10 cm, apex often obtuse, base cuneate, petiole 1.5–4 cm long, margins crenate, nearly glabrous on both surfaces; upper leaves smaller and more scattered, those in inflorescence linear, 3–6 mm long.Heads in lax corymbs, 5–15 mm broad; peduncle slender, 7–20 mm long, minutely and densely crisp puberulous; involucres hemispheric, 5×3 mm, bracts 2-seriate, equal, narrowly oblong, apex obtuse, base connate, reflexed; corolla tubular, 2–2.5 mm long, 4–5-fid; style arms 1–2 mm long, shortly exserted; anthers not appendiculate at both ends.Achenes oblong, 2.5–3 mm long, obtuse, 3-angular, densely warty; pappus bristles 3–4.5 mm long.",World:Central China.Taiwan:Not common in Taiwan.,Adenostemma lavenia var. parviflorum,Adenostemma lavenia (L.) Kuntzevar. parviflorum (Blume) Hochr.
,,,,Adenostemma lavenia var. lavenia,
,輪葉沙參,"Stems 20–120 cm tall, glabrous or pubescent.Leaves in whorls of 3–5 (sometimes alternate or opposite), ovate, obovate, oblong, elliptic, lanceolate, or linear, 2–15 cm long, 0.2–4 cm wide.Flowers paniculate; hypanthium broadly campanulate or obconic; calyx lobes linear, 2–10 mm long; corolla campanulate (sometimes slightly tubular or urceolate), 8–13 mm long, lavender to light blue; style exserted, 1.5–2 times as long as corolla.Capsule ellipsoid or obovate, 5–10 mm long.Chromosome number n = 17.","World:Widely distributed in eastern Asia, from Kamchatka and Japan to northern Indochina and the Ryukyu IslandsTaiwan:In meadows and margins of forests and thickets at 1,500–2,850 m.",Adenophora triphylla,Adenophora triphylla (Thunb.) A. DC.
,,,,Adenophora morrisonensis subsp. uehatae,
,,,,Adenophora morrisonensis subsp. morrisonensis,
,,,,Adenium obesum,
Endemic,假西番蓮,,,Adenia formosana,Adenia formosana Hayata
,合子草,,,Actinostemma tenerum,Actinostemma tenerum Griff.
,,,,Actinoscirpus grossus var. kysoor,
,軟棗獼猴桃,"Tall climbing shrubs to 10 m long; branchlets glabrescent; pith light brown, lamellate.Leaves chartaceous, elliptic to broadly elliptic, sometimes broadly ovate, 4-10 cm. long, 3-8 cm broad, acuminate or cuspidate at apex, rounded or subcordate at base, margins densely serrulate, upper surface dark green, lower surface light green, young Leaves tomentose on veins, glabrescent, hairs remaining only in tufts in vein axils on lower surface, lateral veins ca. 6 or 7 per side; petioles 2-6 cm long.Infolrescences axillary, 1-10-flowered, 1 or 2-branched cymes, sparsely pubescent; flowers white; sepals sparsely tomentose on margins, ovoid or elliptic; ovary glabrous.Fruit ovoid to oblong, ca. 2-3 cm long, green or greenish-yellow, rostrate, glabrous, unspotted, calyx deciduous.","World:E. Siberia, NE. N. China, Japan, Korea.Taiwan:In forests in the central part at ca. 1,800 m.",Actinidia tetramera,Actinidia arguta (Sieb. & Zucc.) Planch. ex Miq.
,腺齒獼猴桃,"Climbing shrubs to 12 m long; young shoots rufous-tomentose, branches glabrous, with prominent lenticels; pith light brown, lamellate.Leaves broadly ovate to oblong ovate or suborbicular, 4-16 cm long, 3.5-9.5 cm broad, obtuse to mucronate or long -acuminate at apex, rounded to slightly cordate, sometimes oblique, at base, margins finely denticulate, glandular, glabrous or sparsely scabrous on upper surface, glabrescent except veins tomentose beneath, Seedlings densely strigose, Leaves densely scabrous on both surfaces, midrib concave above, raised beneath, lateral veins 6-8 per side, veinlets obvious, petioles slender, 2-4 cm long, sparsely scabrous.Inflorescences axillary cymes, ca. 4 cm long, usually solitary, staminate inflorescences many-flowered, pistillate inflorescences few-flowered, both rusty puberulous or tomentose; flowers white, 1-1.5 cm across; sepals 5, oblong, ca. 5 mm long, brown tomentose; petals 5, ovate, ca. 1 cm long; stamens many; ovary ovoid, 6 mm long, densely tomentose; styles about 4 mm long.Fruit ovoid or oblong, 1.5-2.5 cm long, 1-1.5 cm across, brownish, spotted.","World:Korea, Japan, the Ryukyus.Taiwan:In the northern part at medium to high altitudes.",Actinidia rufa,Actinidia rufa (Sieb. & Zucc.) Planch. ex Miq.
,紅莖獼猴桃,"Climbing shrubs to 8 m long; plant all glabrous except ovary; branchlets grayish brown, 3-15 cm long, lenticels obvious; pith solid, yellowish white; branches dark brown.Leaves chartaceous, elliptic to obovate, 4-12 cm long, 3-6 cm broad, acuminate or apiculate at apex, broadly cuneate or rounded at base, finely apiculate-serrate, upper surface dark green, lower surface light green, lateral veins 6 or 7 per side; petioles 1.5-5.5 cm long, reddish or green.Inflorescences axillary cymes, usually solitary; peduncles 3-10 mm long; pedicels 5-12 mm long; flowers white; sepals 4 or 5, ovate to ovate-elliptic, 4-5 mm long, glabrous or tomentose on margins; petals 5, obovate 5-6 mm long; ovary elliptic, brownish, pubescent.Fruit ovate to ovate-oblong, 1-3 cm long, grayish green, glabrous, pale brown spots obvios.",World:S. China.Taiwan:In forests at low to medium altitudes.,Actinidia rubricaulis,Actinidia callosa Lindl.var. discolor C. F. Liang
,闊葉獼猴桃,"Climbing shrubs to 7 m long; branches reddish-brown, with pale oblong to lanceolate lenticels, rusty tomentose on young branchlets; pith solid, whitish, becoming hollow in center in age.Leaves chartaceous, oblong-lanceolate when young, broadly ovate or suborbicular in age, ca. 5.5-11 cm long, 3-9 cm broad, acuminate at the apex, cuneate or rounded to reniform-cordate at the base, subentire with remote minute callose teeth, upper surface glabrate or puberulous, lower surface pale appressed stellate tomentose, lateral veins ca. 6 or 7 per side; petioles 2-4 cm long, tomentose.Inflorescences axillary or lateral, 10- or more flowered, 2 or 3 times branched cymes, densely rusty stellate-tomentose; peduncles 1.5-8 cm long, forked at top; pedicels 0.5-1.5 cm long, often elongating and enlarging in fruit; bracts minute, linear; flowers brownish yellow; sepals 5, ovate, ca. 4-5 mm long, 3-4 mm broad; petals 5, ca. 6-8 cm long, 3-4 mm broad, obtuse to rounded, pubescent outside; ovary globose, ca. 2 mm long, densely pilose, styles 2-3 mm long, slender.Fruit subglobose to ovoid, 3-4 cm long, 2-3 cm across, brown, spotted, glabrous at maturity or pubescent at base and apex only.","World:Western and southern China, Vietnam, Malaysia and Cambodia.Taiwan:In thickets, 500-1,500 m.",Actinidia latifolia,Actinidia latifolia (Gardn. & Champ.) Merr.
Endemic,台灣羊桃,"Climbing shrubs to 8 m or more; branches reddish-brown, with pale oblong lenticels, young branchlets setose; pith large, lamellate, whitish or yellowish.Leaves chartaceous, mostly suborbicular, emarginate to short cuspidate, rounded to more or less cordate at base, 6-12 cm long and broad, minutely denticulate, upper surface puberulous, lower surface very pale, densely whitish stellate-tomentose, lateral veins 5-8 per side; petioles 3.5-7.5 cm long, densely pubescent.Inflorescences few-flowered cymes, from axils of fallen Leaves, pubescent; peduncles ca. 1.5 cm long; pedicels 1-2 cm long; bracts minute, linear; flowers orange-yellow, staminate slightly smaller; sepals 5, sometimes 3 or 4, ovate-oblong, 8-10 mm long, 6-8 mm broad; petals 5, broadly obovate, short clawed, rounded at apex, 1.4-1.5 cm long, 1-1.2 cm. broad; ovary subglobose, 6-7 mm across, densely brownish villose; styles linear, 5-6 mm long.Fruit subglobose to ellipsoid, ca. 3 cm across, densely brownish hirsute.",Taiwan:In forests at medium to high altitudes,Actinidia chinensis var. setosa,Actinidia setosa (H. L. Li) C. F. Liang & A. R. Ferguson
,,,,Actinidia callosa var. callosa,
,腺齒獼猴桃,"Climbing shrubs to 12 m long; young shoots rufous-tomentose, branches glabrous, with prominent lenticels; pith light brown, lamellate.Leaves broadly ovate to oblong ovate or suborbicular, 4-16 cm long, 3.5-9.5 cm broad, obtuse to mucronate or long -acuminate at apex, rounded to slightly cordate, sometimes oblique, at base, margins finely denticulate, glandular, glabrous or sparsely scabrous on upper surface, glabrescent except veins tomentose beneath, Seedlings densely strigose, Leaves densely scabrous on both surfaces, midrib concave above, raised beneath, lateral veins 6-8 per side, veinlets obvious, petioles slender, 2-4 cm long, sparsely scabrous.Inflorescences axillary cymes, ca. 4 cm long, usually solitary, staminate inflorescences many-flowered, pistillate inflorescences few-flowered, both rusty puberulous or tomentose; flowers white, 1-1.5 cm across; sepals 5, oblong, ca. 5 mm long, brown tomentose; petals 5, ovate, ca. 1 cm long; stamens many; ovary ovoid, 6 mm long, densely tomentose; styles about 4 mm long.Fruit ovoid or oblong, 1.5-2.5 cm long, 1-1.5 cm across, brownish, spotted.","World:Korea, Japan, the Ryukyus.Taiwan:In the northern part at medium to high altitudes.",Actinidia callosa,Actinidia rufa (Sieb. & Zucc.) Planch. ex Miq.
,軟棗獼猴桃,"Tall climbing shrubs to 10 m long; branchlets glabrescent; pith light brown, lamellate.Leaves chartaceous, elliptic to broadly elliptic, sometimes broadly ovate, 4-10 cm. long, 3-8 cm broad, acuminate or cuspidate at apex, rounded or subcordate at base, margins densely serrulate, upper surface dark green, lower surface light green, young Leaves tomentose on veins, glabrescent, hairs remaining only in tufts in vein axils on lower surface, lateral veins ca. 6 or 7 per side; petioles 2-6 cm long.Infolrescences axillary, 1-10-flowered, 1 or 2-branched cymes, sparsely pubescent; flowers white; sepals sparsely tomentose on margins, ovoid or elliptic; ovary glabrous.Fruit ovoid to oblong, ca. 2-3 cm long, green or greenish-yellow, rostrate, glabrous, unspotted, calyx deciduous.","World:E. Siberia, NE. N. China, Japan, Korea.Taiwan:In forests in the central part at ca. 1,800 m.",Actinidia arguta,Actinidia arguta (Sieb. & Zucc.) Planch. ex Miq.
,降真香,"A shrub or small to rather large tree.Leaves l-foliolate, 4–30 cm long; petiole 0.5–5 cm long; leaflet blade glabrous, elliptic or elliptic-oblong to obovate or oblanceolate, 3.5–24.5 cm long, 2–8.5 cm wide, the base cuneate or sometimes rounded or attenuate, the apex obtusely acuminate or sometimes obtuse or rounded.Inflorescences few- to many-flowered, 2–25 cm long. Sepals 0.6–1.5 mm long; petals 3–11 mm long; ovary pubescent (rarely only at apex), 4-carpellate, completely syncarpous or with apical septicidal fissures; style pubescent toward base.Fruit usually rather sparsely pubescent and with a ring of dense, appressed hairs at base, but grading to tomentose or glabrous, completely syncarpous or with apical septicidal fissures, usually subglobose but grading to ellipsoid, pyriform, or broadly conical, sometimes lobed or ribbed, 5–15 mm wide, the epicarp drying 0.5–3 mm thick, with woody or subwoody mesocarp. Seeds 3–7 mm long.As seen in Taiwan,  has leaves about 7–15 cm long with the leaflet blade about 6–12 cm long and 2.5–5 cm wide. The petals are about 5–6 mm long and the fruit, which is pubescent or sparsely so, is about 7–8 mm wide.","World:Himalaya eastward to Taiwan and south to Ceylon, Java, and New Guinea.Taiwan:Lower altitude forest and borders in Taiwan.",Acronychia pedunculata,Acronychia pedunculata (L.) Miq.
,,,,Acroceras macrum,
,石菖蒲,"Grass-like herbs; rhizome creeping, aromatic.Leaves linear, 30-45 cm long, 4-7 mm broad, apex acuminate, entire.Peduncle green, 10-15 cm long, compressed-triangular; spathe leaf-like, 14-20 cm
long, 2-4 mm broad; spadix nearly erect, narrowly cylindrical, 5-10 cm long, densely flowered, yellow; perianth segments 6, rounded at apex; anthers yellowCapsules ovoid-globose; seeds hairy at base.The aromatic rhizome is commonly used for various medicinal purposes.","World:Japan, Korea, Hainan, continental China, the Philippines, India and Indonesia.Taiwan:Among rocks along rivers, at low elevations throughout the island.",Acorus gramineus,Acorus gramineus Soland.
,,,,Aconitum fukutomei var. fukutomei,
Endemic,蔓烏頭,"Perennial scandent herbs, pubescent.Leaves simple, 5.3-10.5 cm long, 8.4-19.8 cm wide, palmately divided, 5-partite, pubescent on both surfaces or subglabrous on adaxial surface; petioles 2.7-5.5 cm long.Pedicels 4.5-6.8 cm long, densly velutinous. Stamens numerous; filaments winged at base, sparsely pubescent.Carpels 3-5, fusiform, sparsely pubescent or glabrous. Follicles 2-4, 1.7-2.3 cm long, sessile, glabrous or subglabrous; seeds many, with membranaceous wings on the surface.The surface of the stamens and carpels ranges from pubescent to sparsely pubescent to subglabrous, and is even sometimes glabrous. The leaf shape, and both surfaces of the leaf and leaf margin are also variable, making it difficult to distinguish species based on such characters. The surface character of the leaves, stamens and carpels vary greatly in Taiwanese . A small group of plants distributed at middle altitudes, and with a scandent habit but otherwise similar to the typical taxon, is treated as  var..","Taiwan:In woods and on slopes between 1,700 and 2,400 m in the central mountains.",Aconitum fukutomei var. formosanum,Aconitum fukutomei Hayatavar. formosanum (Tamura) Yang & Huang
,賽赤楠,"An evergreen medium tree, branchlets slightly 4-angular.Leaves opposite or sometimes subalternate, subcoriaceous to coriaceous, elliptic to ovate or obovate, cuspidato-acuminate at apex, acute or attenuate at base, 5.5–6.5 cm long, 2.5–3 cm broad, glabrous, margin entire, midrib impressed above, elevated below, lateral veins 8–10 on each side of midrib, subconspicuous; petioles 3–8 mm long.Flowers small, short-pedicelled; panicle cymose, glabrous, terminal or axillary; peduncles strongly 4-angular; calyx black when dry, tube turbinate, about 3 mm long, 2 mm broad at the apex; petals small; stamens numerous, glabrous, filaments very short, about 1 mm long, anthers globose, opening by a terminal pore.Fruit globose, glabrous, reddish purple when ripe, 1.2–1.5 cm in diameter, apex depressed. Seed coats adhering to the pericarp.","World:Southern China, Burma and Thailand to the Philippine.Taiwan:Known only from Lanyu.",Acmena acuminatissima,Acmena acuminatissima (Bl.) Merr. & Perry
Naturalized,沼生金鈕釦,"Plants annual. Stems erect to ascending or occasionally decumbent, green to red, glabrous to moderately pilose.Leaf blades 3.5-5 mm long, 10-20 mm wide, usually lanceolate to narrowly ovate or sometimes ovate, base attenuate, apex acute to acuminate, glabrous to sparsely pilose above and below, margin sinuate to dentate, sparsely ciliate, petioles 6-10 mm long, sparsely to moderately pilose, narrowly winged.Peduncles 2.3-5 cm long, 0.5-1 mm in diameter, sparsely pilose. Heads usually radiate, 6-8 mm high, 4-6 mm in diameter. Receptacle 4-5 mm high, 0.4-1 mm in diameter, apex acuminate. Phyllaries 5-6, uniseriate, herbaceous, narrowly to broadly ovate, apex rounded to acute, margin entire to irregularly dentate, sparsely to moderately ciliate. Ray florets 4-7, inconspicuous and only slightly exceeding the phyllaries; corollas 1.8-2.2 mm long, yellow to orange-yellow; tube 0.7-0.9 mm long, 0.1-0.3 mm in diameter; limb 0.9-1.2 mm long, 0.8-1 mm wide, achenes moderately to densely ciliate with straight-tipped hairs, lacking an evident cork-like margin and shoulders; pappus of 2-4 short subequal bristles, 0.3 -0.4 mm long. Disc floret corollas 1.2-1.3 mm long, yellow, 4-merous; tube 0.3-0.4 mm long, 0.2-0.3 mm in diameter; throat 0.8-1.0 mm long, 0.4-0.5 mm in diameter; lobes 0.2-0.3 mm long, 0.2 mm wide; stamens 0.6-0.9 mm long, anthers brown-black; style 0.9-1.1 mm long, the branches 0.3-0.5 mm long; achenes 1.2-1.5 mm long, 0.4-0.6 mm wide, moderately to densely ciliate with straight-tipped hairs, lacking an evident cork-like margin and shoulders; pappus of 2 sub- or unequal bristles, the longer bristle 0.4-0.7 mm long, the shorter 0.2-0.4 mm long.In tropics the species prefers wet sand, clay, loam, or gravelly soils especially in disturbed areas along roadsides, cultivated fields, marshes, streams, pastures, meadows, and forests; sea level to 1200 m. Although this species is typically erect and lacks roots at the nodes, under very wet conditions it becomes decumbent and produces nodal roots on lower portions of the stems. In Taiwan,  usually prefers growing in slightly, wet loam and gravelly soils along the roadsides, and therefore the stem nodes often bear adventitions roots. The current distributional range in altitude is from 10 to 100 m.","World:Widespread throughout the tropics, especially in the West Indies, Venezuela, Brazil, Africa, Indonesia, and Malaysia.Taiwan:All the wild populations established are found at Taipei area.",Acmella uliginosa,Acmella uliginosa (Swartz) Cassini
Naturalized,金鈕扣,"Glabrous annuals; stems branched, erect or ascending, to 30 cm or more tall.Leaves petiolate, ovate to ovate-lanceolate, 2–4 cm long, 1–2.5 cm broad, apex acute, base cuneate, 3-nerved, entire, coarsely or crenately serrate; petiole 1–2 cm long.Peduncle 2.5–16 cm long, sparsely pilose. Heads discoid, solitary, terminal or axillary, 8.4–12.5 mm tall, 6.9–10 mm in diam. Receptacle 5–8 mm tall, 1.1–3 mm in diam., apex acuminate. Involucral bracts 9–12, in 2-series, ovate-lanceolate, ca. 6 mm long, herbaceous, glabrous. Disc florets 90–200; tubular, minute, 4- or 5-lobed.Achenes obovoid, 3-angled, ca. 3 mm long, apex slightly depressed, margins scabrid. Pappus of 2 subequal bristles, longer one 0.5–1.1 mm long, shorter one 0.4–0.9 mm long.","World:South, southeast Asia and south ChinaTaiwan:In low open places.",Acmella paniculata,Acmella paniculata (Wall. ex DC.) R. K. Jansen
,,,,Acmella oleraceae,
,印度金鈕扣,"Plants annual. Stems decumbent to usually erect, not rooting at nodes, green to red, glabrous.Petiole 2–6.4 cm long, glabrous to very sparsely pilose, narrowly winged. Leaf blade 5–10×4–8 cm, broadly ovate to deltate, base truncate to short attenuate, apex short acuminate to usually acute, usually glabrous on both surfaces, margins dentate.Peduncle 3.5–12.5 cm long, glabrous to very sparsely pilose. Heads discoid, 10.5–23.5 mm tall, 11–17 mm in diam. Receptacle 8.3–21.5 mm tall, 3.5–8.5 mm in diam. Involucral bracts 15–18, triseriate, herbaceous, entire to sinuate, sparsely ciliate; bracts of outer series 5 or 6, 5.8–7.3×2.1–2.8 mm, usually narrowly ovate to lanceolate or sometimes ovate, acute. Disc florets 400–600; corolla 2.7–3.3 mm long, yellow, 5-merous; tube 0.5–0.7 mm long, 0.2–0.4 in diameter; lobes 0.3–0.6×0.2–0.4 mm; stamens 1.4–1.7 mm long.Achenes 2–2.5×0.9–1.1 mm, moderately to densely ciliate with straight-tipped hairs. Pappus of 2 subequal bristles, longer one 0.5–1.5 mm long, shorter one 0.3–1.3 mm long.","World:Known only from cultivation worldwide.Taiwan:Cultivated for medicinal, insecticidal and horticultural purposes.",Acmella oleracea,Acmella oleracea (L.) R. K. Jansen
,柳葉牛膝,"Perennial herbs, 50–120 cm tall; stems and branches quadrangular, sparsely pubescent.Leaves linear-lanceolate or lanceolate, 10–20 cm long, 1–3 cm wide, membranaceous, sparsely pubescent, acuminate at both ends.Flowers in terminal or axillary elongate spikes, pedicel deflexed in fruit; spikes 5–15 cm long; bracts often with shallow teeth; bracteoles 2, hardened and spinescent, shorter than the perianth, basal suricles obtusely deltoid; perianth segments 5, linear-lanceolate, acuminate; stamens 5, shorter than perianth, connate at base, staminodes square.Utricles elliptical, ca. 2.5 mm long.",World:China and Japan and temperate and subtropical regions of southeastern Asia.Taiwan:On forest floors thoughout the island.,Achyranthes longifolia,Achyranthes longifolia (Makino) Makino
,日本牛膝,"Perennial herb attaining 50–100 cm tall; stems and branches obtusely quadrangular, nearly glabrous.Leaves opposite, petiolate, oblong, 10–20 cm long, 4–10 cm wide, acuminate at both ends, sparsely pubescent on both surfaces.Inflorescence a terminal or axillary elongate spike, 5–20 cm long, usually loosely flowered; bracts membranaceous, ovate-deltoid, half as long as perianth; bracteoles subulate, shorter than perianth, basal auricles membranaceous, whitish, orbicular; pedicel horizontal in anthesis, deflexed in fruit; perianth denticulate.Utricles oblong, ca. 2.5 mm long.","World:Widely distributed in China, the Ryukyus?, Japan and Korea and temperate and subtropical regions of southeastern Asia.Taiwan:On forest floors throughout the island.",Achyranthes bidentata var. japonica,Achyranthes bidentata Bl.var. japonica Miq.
,台灣牛膝,"Perennial herbs, 50–100 cm tall; stems quadrangular, nodes reddish-brown, sparsely pubescent.Leaves elliptic or oblong, 5–15 cm long, 3–8 cm wide, acute at both ends, sparsely pubescent.Inflorescence a terminal or axillary elongate spike, 10–30 cm long; bracts detoid, with long tips; bracteoles without teeth at base, basal auricles oblong, ca. 1 mm long; flowers sessile, deflexed in fruit; perianth segments 5, staminodes fimbriate on upper margins.Utricles cylindrical, ca. 4 mm long.","World:India, China(Yunan, Fukien) and the Ryukyus?Taiwan:Edges of forests and along roadsides throughout the island.",Achyranthes bidentata,Achyranthes aspera L.var. rubro-fusca (Wight) Hook. f.
