通稱,name,scientificName,chineseName,attribute,described,distribution
南美鐵莧,Acalypha aristata,Acalypha aristata Kunth,南美鐵莧,Naturalized,"Annual herbs, 30-50 cm tall, the stem erect, 2-3 mm wide, green flushed with purplish red, densely hispid with appressed, incurved hairs, somewhat woody at
base.Leaves alternate; blades rhomboid, ovate to broadly ovate, 4-7 cm long and 3-4 cm wide, acute to obtuse at apex, rounded to slightly cordate at base, pubescent above and below, hispid on veins, palmately 5-veined, the margins crenate-serrate; petioles 2-3 cm long, densely hispid with appressed, incurved hairs; stipules lanceolate, 1.5-3 mm long, hispid.Inflorescence spicate, axillary. Staminate spikes with peduncles up to 1 cm long, ellipsoidal, 5 mm long and 2 mm wide. Staminate flowers densely clustered, 5-8 at a node and subtended by a bract, the bract oblong, 0.5-0.8 mm long, hispid, with a long apical bristle up to 8 mm long and smaller bristles on margins, pedicels up to 0.6 mm long, hispidulous; petals lacking; calyx lobes 4, ovate, 0.3 mm long and wide, purplish red, hispidulous and tuberculate outside; stamens 8 in clusters, white, anthers elongated, 0.3 mm long, pendent, filaments 0.2 mm long. Pistillate spikes ellipsoidal to short cylindrical, 1-2.5 cm long, 1-1.3 cm wide, with a terminal bristlelike projection 5-15 mm long, the projection purplish red, hispidulous, bearing 3-5 nodes of staminate flowers at base and a terminal T-shaped abnomal pistllate flower. Pistillate flowers solitary, sessile, subtended by a foliaceous bract and usually 2-4 extra bractlets, the bracts ovate, 4-7 mm long, 2-3 mm wide, hispid with 5 bristlelike lobes 1.5-2 mm long, the bractlets linear, 1 mm long, hispid; petals lacking; calyx lobes 3, lanceolate, hispidulous, styles 3, elongated, 4-5 mm long, stigma red, divided into filiform segments 2 mm
long.Capsules ovoid, 3-lobed, 3 mm across, hispidulous, with persistent styles. Seeds 3, ellipsoidal, carunculate, 1.5mm long, 1 mm wide, gray with blackish brown spots, punctate on the surface.","World:Native from Mexico, the West Indies south to Panama, Venezuela, Peru and Brazil.Taiwan:In Hualien County. It is found on dry, sandy soils, along orchards, shrub borders,
unmanaged meadows, and in waste areas."
鐵莧菜;麻葉鐵莧菜,Acalypha australis,Acalypha australis L.,鐵莧菜,,"An annual herb up to 1 m high; stems erect, branched, hirsute or nearly glabrous.Leaves membranaceous, lanceolate to ovate-lanceolate, 2–6 cm long, 1–3 cm broad, the apex acuminate, the base acute or rounded, the margins obtusely serrate, sparsely pilose, 3-nerved at base; petioles 2–5 cm long. Spikes axillary, androgynous, short-pedunculate, 1–4 cm long.Male flowers at the top of the spikes, small, naked. Female flowers at the base of the spikes; bracts reniform, 1–1.5 cm long, acuminate; sepals ovate, ciliate; ovary pilose; styles 3 mm long.Capsules 3 mm across, pilose; seeds 1.5–2 mm long, smooth.","World:Ussuri, Korea, Japan, the Ryukyus, China and the Philippines.Taiwan:Throughout the whole island at low altitudes."
短序鐵莧菜;裂苞鐵莧菜,Acalypha brachystachya,Acalypha brachystachya Hornem.,短序鐵莧菜,,"A slender annual herb, about 30 cm high; stem sulcate, tomentose and mingled with long straight hairs.Leaves ovate, acuminate with obtuse tip, base slightly cordate or rounded, 2.8–4.5 cm long, 1.5–2.4 cm broad, margin serrate, teeth rounded, with long straight hairs along veins and veinlets at both surfaces; petioles tomentose and mingled with long straight hairs, 1–3.5 cm long.Spike axillary, shorter than bract: male flowers inserted at the upper portion, very small, ebracteate, sepals 4, yellowish brown when dry, valvate in bud; filament 8; female flowers inserted at the lower portion, bract deeply 3-fided, fid lanceolate, rounded at apex , with hairs and glandular hairs, sometimes the lateral lobes with one auricles at base; sepals laciniate at the apex.Fruit a capsule, 3-celled. Seeds 3 in each capsule, oval, brown, about 1.5 mm long, carunculate.","World:Tropical Africa, India, China and Java.Taiwan:Confined to the forest floor beside brooks in the southern area at elevation of 1120 m."
蘭嶼鐵莧,Acalypha caturus,Acalypha caturus Bl.,蘭嶼鐵莧,,"A small tree.Leaves chartaceous, broadly ovate to cordate, 8–13 cm long, 6–12 cm broad, the apex acuminate, the base cordate, truncate or rounded, the margins serrulate, densely pubescent in the nerve-axils beneath; petioles 8–10 cm long, hairy; stipules linear-lanceolate, 13 mm long. Inflorescences axillary, unisexual, rarely androgynous.Male spikes 8–20 cm long. Female spikes 5–6 cm long, solitary; bracts broadly reniform, 4–5 mm long, acute; bracteoles 2; sepals 3, ovate, pubescent; ovary 2-celled, pubescent; styles 2, 2–3 mm long.Capsules 3-lobed; seeds obliquely ovoid, about 1.5 mm long.","World:The Philippines, Celebes, Java, Sumatra and Borneo.Taiwan:Confined to Is. Lanyu."
紅花鐵莧,Acalypha hispida,,,,,
紅頭鐵莧,Acalypha hontauyuensis,Acalypha hontauyuensis Keng,紅頭鐵莧,Endemic,"A shrub; branches tomentose.Leaves thinly chartaceous, cordate-orbicular, 12–18 cm long, 12–16 cm broad, the apex caudate-acuminate, the base obliquely truncate-cordate, the margins crenate-serrate, the nerve-axils hirsute beneath; petioles slender, 8–20 cm long, tomentose.Female spikes axillary, solitary, 6–10 cm long; peduncles 0.5–2 cm long; bracts triangular, about 1 mm long, densely hirsute without. Female flowers with 3 sepals, ovate, about 3 mm long; styles 2.5–3 mm long.",Taiwan:Endemic to Is. Lanyu only.
印度鐵莧,Acalypha indica var. indica,,,,,
小葉鐵莧;熱帶鐵莧菜,Acalypha indica var. minima,Acalypha indica L.var. minima (Keng) Huang & Huang,小葉鐵莧,Endemic,"An annual herb, up to 30 cm high; stems woody near base, pilose above.Leaves subrhomboid-ovate, 1–1.5 cm long, 0.7–1.3 cm broad, the apex acute, the base cuneate, the margin crenate, both surfaces sparingly setose-villose.Spike 0.5–1 cm long; fruit bearing bracts triangular-ovate, cordate, 2–4 mm long, 5–8 mm broad, the margins dentate, setose-villose.Capsule 3-lobed, 2–3 mm long, short-pilose.",Taiwan:Endemic. This variety inhabits open seaside in the southern part.
尖尾鐵莧,Acalypha longi-acuminata,,,,,
恆春鐵莧,Acalypha matudai,Acalypha matudai Hayata,恆春鐵莧,Endemic,"Undershrub; branches red-purplish, more or less hirsute.Leaves mem¬branaceous, oblong-lanceolate, 5–8 cm long, 1.5–3 cm broad, the apex acuminate, apiculate, the base obtuse to rounded, the margins serrulate, both surfaces subglabrous; petioles 1–2 cm long, hirsute.Spikes androgynous, axillary, 3–4 cm long, erect. Male flowers at base of spike, 5–6 at each node; bracts minute, ovate; sepals 4, oblong. Female flowers solitary, each with a bract.Capsules 3-lobed, hirsute; seeds complanate-ovoid, about 1.5 mm long, 1 mm broad, smooth, the apex short-beaked.",Taiwan:Endemic. Confined to Hengchun Peninsula.
紅尾鐵莧,Acalypha reptans,Acalypha reptans Sw.,紅尾鐵莧,Cultivated,,
菱葉鐵莧,Acalypha siamensis,Acalypha siamensis Gagnep.,菱葉鐵莧,Cultivated,,
花蓮鐵莧,Acalypha suirenbiensis,Acalypha suirenbiensis Yamamoto,花蓮鐵莧,Endemic,"A subshrub; branchlets densely pubescent.Leaves chartaceous, ovate, 12–20 cm long, 8–15 cm broad, the apex caudate-acuminate, the base obtuse or truncate rounded, the margins subentire, the lower surface glabrescent, densely hirsute in the axils of secondary veins; petioles 8–15 cm long, tomentose.Female spikes very slender, axillary, solitary, 20–25 cm long; peduncles 4–5 cm. Female flowers very remotely arranged on the rachis, sessile, 1-bracteate, the bracts small, ovate, 1 mm long, densely hirsute on the external surface; sepals 3, ovate, l mm long, concave; styles 2–5 mm long, finely branched; ovary depressed-globose, 1.5 mm across, 1.4 mm long, pubescent.Capsules 3-lobed, 4 mm wide; seeds ovoid, 2 mm long, 1 mm wide.",Taiwan:Endemic. Known from Hualien along the eastern coast.
威氏鐵莧,Acalypha wilkesiana,,,,,
蕉蘭,Acampe rigida,Acampe rigida (Buch.-Ham ex J. E. Sm.) Hunt,蕉蘭,,"Stems stout, 1 m or more long, 1-2 cm in diam., rooting near base, roots thick and rigid.Leaves linear, 25-30 cm long, 4-5 cm wide, thick coriaceous, yellowish green, apex rounded and slightly oblique, base decurrent into sheath; sheaths tube like, embracing stem, 3 cm long.Racemes lateral from upper part of stem, subcorymbose; bracts scale-like, 3-4 mm long, 5-6 mm wide; pedicel and ovary 11-13 mm long. Flowers pale yellow with red transverse stripes, ca. 1.8 cm in diam.; dorsal sepals oblanceolate, 13-15 mm long, 7-8 mm wide, apex rounded; lateral sepals obovate, slightly oblique, 13-15 mm long, 7-9 mm wide, obscurely keeled outside; petals oblanceolate falcate, 12-13 mm long, 4-5 mm wide, apex obtuse, base contracted; lip fleshy, whitish above, yellowish below, 1 cm long, base saccate, blade 3-lobed, lateral lobes erect, broadly triangular, midlobe ovate or oblong, recurved at apex, thickened at base, disc pubescent, sac shallowly conic, pubescent inside; column 2 mm high; anther cap semispherical, 2 mm long; pollinia globose, 0.8 mm in diam.; stipe slender viscidium rhombic, 2-fid.Capsules nearly cylindrical, 5-6 cm long.","World:Southern China, eastern Himalaya, northern Assam, Thailand, Indochina, Sri Lanka and Malaysia.Taiwan:On exposed rocks and precipices along rivers at low elevations."
延齡罈花蘭,Acanthephippium pictum,Acanthephippium pictum Fukuy.,延齡罈花蘭,,"Terrestrial herb. Root about 3 mm in diameter. Pseudobulb fleshy, elongate clavate, about 13 cm long, 2.2-4 cm across.Leaves usually 3, stalk about 14 cm long, blade elliptic, about 20-50 cm long, 7-10 cm wide, lower leaf usually smaller, mainly 5-9-veins.Scape lateral from the new years growth, arising from the base of middle nodes of the pseudobulb, about 18 cm long. Inflorescence of raceme, flowers 3-5, dense, flowers whitish yellow and flushed tongue-shaped, about 1 cm long; column about 7 mm long; foot about 1.3 cm long, base adnated into a sac with lip and lateral sepals, pollinia 8, ellipsoid, in two groups of 4, two of these larger, and two smaller, yellow, with caudicle, no viscidium.Fruit held on long, erect stalks, ellipsoid, ridged.Chromosome number: 2n = 48.","World:The Ryukyus, Japan.Taiwan:Lanyu island"
一葉罈花蘭;中華壇花蘭,Acanthephippium striatum,Acanthephippium striatum Lindl.,一葉罈花蘭,,"Roots 3-4 mm in diam., densely hairy. Pseudobulbs elongate clavate, 6-15 cm long, fleshy, base 1-2 cm in diam., gradually tapering toward apex, narrowed into petiole, nodes 2-4, scales at nodes membranaceous.Leaves solitary, rarely 2, shortly petioled, oblong, 20-30 cm long, 7-10 cm wide, strongly plicate, mainly 5-nerved, apex acute, base decurrent; petiole articulated with pseudobulb. Scape 10-13 cm tall, base with many membranaceous scales; bracts ovate-oblong, 3 cm long; pedicel and ovary 3-3.6 cm long, glabrous.Flowers 4 or 5, crowded, with red stripes, tubular, 3.5-4.5 cm long; dorsal sepal elliptic, 2.3-2.5 cm long, 1.1-1.3 cm wide, obtuse; lateral sepals adnate to foot of column, triangular-falcate, 2.8-3.5 cm long, base 2.7 cm wide, oblique, apex acute, mentum with narrow tip; petals spatulate, 2-2.3 cm long, 1 cm wide, apex acute or obtuse, base narrowed; lip included in mentum, sagittate, 2.5 cm long, base long-clawed, apex 3-lobed, lateral lobes falcate, 1 cm long, central lobe triangular, with red spots or patches, disc with a yellow raised ridge between lateral lobes; column ca. 1 cm long, slightly curved, foot 1.8 cm long, often with red stripes and spots; anther white, 4 mm long, apex sharply pointed; pollinia clavate, 2-3 mm long, in 2 groups of 4, attached to a soft caudicle; rostellum exserted beyond stigma.Capsules erect, 5-6 cm long.Chromosome number: A somatic chromosome count of 2n = 48 for a plant collected from Pinglin, Taipei Hsien, Taiwan.","World:The Himalaya, Indochina, southern China, Malaysia and Java.Taiwan:In broad-leaved forests below 1500 m throughout the island."
罈花蘭,Acanthephippium sylhetense,Acanthephippium sylhetense Lindl.,台灣罈花蘭,,"Pseudobulbs elongate ovoid to clavate, 7-15 cm long, 2.5-4 cm thick at base, tapering upwards, nodes 2-3, enclosed by triangular membranaceous scales.Leaves (2-)3 or 4, oblong, 30-40 cm long, 8-10 cm wide, mainly 9-nerved, apex acuminate, base decurrent into short petiole. Scape arising with new growth, 15-20 cm long, with 3 or 4 lanceolate scales below; bracts ovate or oblong, concave, 2.5-3 cm long, embracing pedicel; pedicel and ovary 4 cm long.Flowers 3-5, yellowish white, 4-4, 5 cm long; sepals with minute purple spots near inside apex, cohering into a tube, dorsal one elliptic, 3 cm long, 1.5 cm wide, apex rounded, lateral ones falcate-oblong, 4 cm long, 2 cm wide, mentum 2.5 cm long; petals spatulate, 2.5 cm long, apex obtuse, base strongly contracted; lip adnate to foot of column, long clawed, claw elongate rectangular, 2.2 cm long, blade 3-lobed, lateral lobes oblong, erect, central lobe ligulate, fleshy, obtuse at apex, disc with 3-5 ridges near base; column 1.3 cm long, foot 1.8 cm long.Chromosome number: A somatic chromosome count of 2n = 48 for a plant collected from Wulai, Taipei Hsien, Taiwan.","World:The Ryukyus, the Philippines, Thailand and the Himalaya.Taiwan:In forests at low elevations in mountainous regions and on Lanyu Is."
刺五加,Acanthopanax senticosus,,,,,
刺苞果,Acanthospermum australe,,,,,
廈門老鼠?,Acanthus xiamenensis,,,,,
樟葉槭;飛蛾槭;飛蛾子樹,Acer albopurpurascens,Acer albopurpurascens Hayata,樟葉槭,Endemic,"Trees, evergreen, up to 15 m high; branchlets pubescent at first, soon glabrous.Leaves persistent, oblong-lanceolate, 2.5–13 cm long, 1–4 cm broad, caudate to acuminate at apex, obtuse to cuneate at base, coriaceous, pale green and glabrous above, white-purplish glaucous beneath, densely pubescent when young, 3-nerved at base, nerves slightly raised beneath; petioles 0.7–3.5 cm long, glaucous.Flowers small; pedicels short, 1.5–2 mm long; sepals 5, rounded ovate; petals 5, oblong ovate; disk not distinct, hairy appendages abundant; stamens 8. Pistillate flowers 6 mm across; sepals 1.5 mm long, pubescent outside; petals 3 mm long; staminodes short, anthers oblong, 1 mm long, filament shorter; ovary broadly rounded, styles 2, long, recurved downwards. Staminate flowers 4.5 mm across; stamens 1.5 mm long. Inflorescence cymose.Samara glabrous; each wing with the semicarp 1.5–2.5 cm long; lower edges of two wings spreading at angles of 60–75 degree.",Taiwan:In forests from low to medium altitudes throughout the island.
臺灣三角楓,Acer albopurpurascens var. formosanum,Acer albopurpurascens Hayatavar. formosanum (Matsum. & Hayata,台灣三角楓,Endemic,"Trees, to 10 m high; branchlets glabrescent.Leaves deciduous, coriaceous, broadly 3-lobed or shallowly 3-lobed near apex, or entire, rounded or slightly cordate at base, 2–6 cm long, 1.5–7 cm broad, 3-nerved at base; reticulations conspicuous; petioles 0.7–5 cm long.Inflorescence cyme-corymbose.Samara yellowish brown; nutlets convex; wings falcate, each wing with the semicarp 1.5–2.5 cm long, divaricate between lower edges of two wings at ca. 70 degree.","World:Species in eastern China, the variety endemic to northern Taiwan.Taiwan:Sparcely scattered in forests of low altitudes."
尖葉槭;川上氏槭,Acer kawakamii,Acer kawakamii Koidz.,尖葉槭,Endemic,"Trees, up to 20 m high; branchlets slender, glabrous.Leaves deciduous, chartaceous, usually undivided to shallowly 3-lobed, rarely distinctly 3- to 5-lobed, ovate to oblong-ovate, 2.5–11 cm long, 1–8 cm broad, caudate-acuminate at apex, rounded or slightly cordate at base, 5-nerved, subduplicately serrate, green above, pale green beneath, slightly pubescent on nerves at first, soon glabrous.Inflorescence of glabrous or slightly pubescent racemes, ca. 5 cm long. Flowers 9–10 mm across; pedicels 5–6 mm long, slender, glabrous; sepals 5, ovate-lanceolate, 2–2.5 mm long, glabrous; petals 5, white, rhomboid, 3.5–4 mm long, margin wavy; disk 8-lobed, thick; stamens 8, around the disk; connective upwards produced beyond anther cells. Pistillate flowers remarked by conspicuous carpels; ovary with large wings over petals, villose; styles 2, long, connate at basal part, recurved downwards, pubescent; staminodes 2 mm long; anthers basifixed. Staminate flowers: stamens long; filaments ca. 3 mm long; anthers with prominant connective over 1 mm long, dorsifixed.Samara yellowish brown; wings falcate, each wing with the semicarp 2.5–3.2 cm long, two lower edges of wings spreading at angles of 120–135 degree.",Taiwan:In forests from low to medium altitudes of the northern part of Taiwan.
